burst,p256,f1,hr321,hr32,t50,t90 
729,-0.21681,-6.24138,1.07238,0.81457,-1.20066,-0.73755
2382,-0.43652,-5.7733,-0.27361,-0.63936,-0.07988,0.2833
107,-0.52433,-6.60548,0.01734,-0.27643,1.83637,2.31926
5500,0.44201,-6.41464,0.94339,0.68436,-1.25181,-0.86646
5508,0.08565,-6.4075,0.04714,-0.21421,2.64257,2.68905
3773,-0.41567,-4.93939,-0.54505,-1.1149,1.73534,2.0311
1088,0.72908,-5.516,0.96828,0.77907,-0.89279,-0.7167
1435,-0.4389,-6.68646,0.8962,0.8962,-0.15243,0.08493
2910,0.04805,-6.00881,1.33732,1.04546,-0.89279,-0.49485
2599,-0.10791,-6.0802,1.28506,0.88031,-1.19382,-0.75449
5533,0.68708,-5.2846,1.13359,0.8904,-0.34872,-0.11464
5488,-0.14388,-7.16603,0.83756,0.77704,-1.01773,-0.7167
2795,0.2824,-6.09276,1.21797,0.94982,-0.95078,-0.63451
373,-0.19111,-6.5591,1.26326,1.1495,-0.11464,0.18639
5502,0.00647,-5.35799,1.46461,1.01352,-1.19382,-1.19382
3218,-0.08249,-6.39429,1.09064,0.91615,-1.39794,-1.01773
3412,1.3467,-5.38689,0.80359,0.63746,-1.92082,-1.16749
1680,-0.383,-7.02307,0.81184,0.81184,-0.89279,-0.89279
3665,0.60217,-5.82833,1.03725,0.89888,-1.4437,-1.11919
2358,-0.3363,-6.97951,1.12492,1.07985,-0.01773,0.10721
2856,1.27028,-3.60201,0.86575,0.86575,1.75214,2.07872
2095,-0.42713,-5.77412,1.36409,0.92541,-1.61979,-0.66555
474,0.76208,-5.27803,1.06912,0.92749,-1.14267,-0.81816
2757,-0.22915,-5.53504,-1.22212,-1.63976,-1.19382,-1.19382
2291,-0.55596,-6.79026,0.83949,0.73214,-1.19382,-1.19382
2755,-0.10958,-7.22154,1.13336,0.78632,-1.25181,-0.84164
3384,-0.25649,-7.60139,0.79009,0.79009,-1.69897,-1.25181
1791,0.15594,-7.10025,-0.44853,-0.62691,-0.54363,0.09167
289,-0.29243,-7.01375,0.91508,0.85632,-1.52288,-1.17393
4807,-0.28735,-6.52767,1.40446,1.01139,-1.19382,-0.7167
2715,0.94949,-4.84819,1.15249,0.92401,-0.7167,-0.41567
5458,-0.3536,-7.65324,0.14378,-0.15849,-1.79588,-1.61979
2679,1.09409,-4.79447,1.13351,0.85968,-0.7167,-0.59176
3437,-0.19179,-6.85359,1.6473,1.28564,-0.77469,-0.46344
3051,-0.43652,-6.4071,1.1294,1.1294,-1.26761,-0.86646
2464,-0.06048,-7.53118,-0.12131,-0.28883,-1.55284,-1.31876
